snippetList_name2 - album2_life-after-youv2_cut1mobile.wav_stft.txt_vectors.txt
91 92 6 57
91 75 7 57
91 91 10 57
91 75 14 57
91 87 17 57
91 109 24 57
91 75 25 57
91 75 26 57
91 92 5 58
91 75 6 58
91 91 9 58
91 75 13 58
91 87 16 58
91 109 23 58
91 75 24 58
91 75 25 58
51 40 6 59
51 70 6 59
51 60 11 59
51 41 12 59
51 58 13 59
51 64 13 59
51 60 15 59
51 39 16 59
51 45 18 59
51 42 19 59
51 53 20 59
51 65 20 59
51 42 24 59
51 44 26 59
51 42 27 59
51 41 28 59
51 41 29 59
51 69 29 59
51 41 31 59
51 68 31 59
51 39 32 59
51 31 33 59
60 60 9 61
60 41 10 61
60 75 10 61
60 58 11 61
60 64 11 61
60 60 13 61
60 45 16 61
60 42 17 61
60 53 18 61
60 65 18 61
60 75 21 61
60 42 22 61
60 75 22 61
60 44 24 61
60 42 25 61
60 41 26 61
60 41 27 61
60 69 27 61
60 41 29 61
60 68 29 61
60 72 32 61
124 123 5 61
124 111 7 61
124 111 8 61
124 111 9 61
124 111 12 61
124 111 14 61
124 122 15 61
124 111 16 61
124 119 17 61
124 109 20 61
124 120 26 61
124 121 28 61
124 107 34 61
1 0 12 62
1 19 15 62
1 17 19 62
1 16 20 62
1 14 21 62
1 17 21 62
1 6 22 62
1 8 22 62
1 10 23 62
1 8 24 62
1 19 26 62
1 20 31 62
3 0 12 62
3 19 15 62
3 17 19 62
3 16 20 62
3 14 21 62
3 17 21 62
3 6 22 62
3 8 22 62
3 10 23 62
3 8 24 62
3 19 26 62
3 20 31 62
60 60 8 62
60 41 9 62
60 75 9 62
60 58 10 62
60 64 10 62
60 60 12 62
60 45 15 62
60 42 16 62
60 53 17 62
60 65 17 62
60 75 20 62
60 42 21 62
60 75 21 62
60 44 23 62
60 42 24 62
60 41 25 62
60 41 26 62
60 69 26 62
60 41 28 62
60 68 28 62
60 72 31 62
75 91 5 62
75 60 8 62
75 75 9 62
75 58 10 62
75 64 10 62
75 60 12 62
75 87 12 62
75 65 17 62
75 75 20 62
75 75 21 62
75 69 26 62
75 68 28 62
75 72 31 62
43 60 7 63
43 41 8 63
43 58 9 63
43 60 11 63
43 39 12 63
43 45 14 63
43 42 15 63
43 53 16 63
43 42 20 63
43 44 22 63
43 42 23 63
43 41 24 63
43 41 25 63
43 41 27 63
43 28 28 63
43 39 28 63
43 28 29 63
43 31 29 63
43 29 34 63
43 41 34 63
92 111 5 63
92 111 6 63
92 111 7 63
92 75 8 63
92 111 10 63
92 87 11 63
92 111 12 63
92 111 14 63
92 109 18 63
92 75 19 63
92 75 20 63
92 72 30 63
92 107 32 63
92 108 34 63
75 60 6 64
75 75 7 64
75 58 8 64
75 64 8 64
75 60 10 64
75 87 10 64
75 65 15 64
75 75 18 64
75 75 19 64
75 69 24 64
75 68 26 64
75 72 29 64
6 0 9 65
6 19 12 65
6 17 16 65
6 16 17 65
6 14 18 65
6 17 18 65
6 6 19 65
6 8 19 65
6 10 20 65
6 8 21 65
6 19 23 65
6 20 28 65
13 0 9 65
13 19 12 65
13 17 16 65
13 16 17 65
13 14 18 65
13 17 18 65
13 6 19 65
13 8 19 65
